2024-08-04 19:24:52.945 | main | INFO  | com.logback.LogbackApplication | Starting LogbackApplication using Java 21.0.3 with PID 3331 (/Users/kms/Desktop/spring-lab/logback/build/classes/java/main started by kms in /Users/kms/Desktop/spring-lab/logback)
2024-08-04 19:24:52.946 | main | INFO  | com.logback.LogbackApplication | No active profile set, falling back to 1 default profile: "default"
2024-08-04 19:24:53.366 | main | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat initialized with port 8080 (http)
2024-08-04 19:24:53.373 | main | INFO  | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-8080"]
2024-08-04 19:24:53.374 | main | INFO  | o.a.catalina.core.StandardService | Starting service [Tomcat]
2024-08-04 19:24:53.374 | main | INFO  | o.a.catalina.core.StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-04 19:24:53.395 | main | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
2024-08-04 19:24:53.395 | main | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 427 ms
2024-08-04 19:24:53.553 | main | INFO  | o.a.coyote.http11.Http11NioProtocol | Starting ProtocolHandler ["http-nio-8080"]
2024-08-04 19:24:53.562 | main | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat started on port 8080 (http) with context path '/'
2024-08-04 19:24:53.567 | main | INFO  | com.logback.LogbackApplication | Started LogbackApplication in 0.839 seconds (process running for 1.203)
2024-08-04 19:25:47.385 | main | INFO  | com.logback.LogbackApplication | Starting LogbackApplication using Java 21.0.3 with PID 3348 (/Users/kms/Desktop/spring-lab/logback/build/classes/java/main started by kms in /Users/kms/Desktop/spring-lab/logback)
2024-08-04 19:25:47.386 | main | INFO  | com.logback.LogbackApplication | No active profile set, falling back to 1 default profile: "default"
2024-08-04 19:25:47.767 | main | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat initialized with port 8080 (http)
2024-08-04 19:25:47.772 | main | INFO  | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-8080"]
2024-08-04 19:25:47.773 | main | INFO  | o.a.catalina.core.StandardService | Starting service [Tomcat]
2024-08-04 19:25:47.773 | main | INFO  | o.a.catalina.core.StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-04 19:25:47.793 | main | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
2024-08-04 19:25:47.793 | main | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 388 ms
2024-08-04 19:25:47.940 | main | INFO  | o.a.coyote.http11.Http11NioProtocol | Starting ProtocolHandler ["http-nio-8080"]
2024-08-04 19:25:47.945 | main | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat started on port 8080 (http) with context path '/'
2024-08-04 19:25:47.949 | main | INFO  | com.logback.LogbackApplication | Started LogbackApplication in 0.778 seconds (process running for 1.167)
2024-08-04 19:26:10.581 | main | INFO  | com.logback.LogbackApplication | Starting LogbackApplication using Java 21.0.3 with PID 3363 (/Users/kms/Desktop/spring-lab/logback/build/classes/java/main started by kms in /Users/kms/Desktop/spring-lab/logback)
2024-08-04 19:26:10.582 | main | INFO  | com.logback.LogbackApplication | No active profile set, falling back to 1 default profile: "default"
2024-08-04 19:26:10.954 | main | INFO  | o.s.b.w.e.tomcat.TomcatWebServer | Tomcat initialized with port 8080 (http)
2024-08-04 19:26:10.958 | main | INFO  | o.a.coyote.http11.Http11NioProtocol | Initializing ProtocolHandler ["http-nio-8080"]
2024-08-04 19:26:10.959 | main | INFO  | o.a.catalina.core.StandardService | Starting service [Tomcat]
2024-08-04 19:26:10.959 | main | INFO  | o.a.catalina.core.StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-04 19:26:10.977 | main | INFO  | o.a.c.c.C.[Tomcat].[localhost].[/] | Initializing Spring embedded WebApplicationContext
2024-08-04 19:26:10.977 | main | INFO  | o.s.b.w.s.c.ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 376 ms
