2024-08-04 19:13:15 | main | [USER: ] | INFO  | LogbackApplication | Starting LogbackApplication using Java 21.0.3 with PID 3163 (/Users/kms/Desktop/spring-lab/logback/build/classes/java/main started by kms in /Users/kms/Desktop/spring-lab/logback)
2024-08-04 19:13:15 | main | [USER: ] | INFO  | LogbackApplication | No active profile set, falling back to 1 default profile: "default"
2024-08-04 19:13:15 | main | [USER: ] | INFO  | TomcatWebServer | Tomcat initialized with port 8080 (http)
2024-08-04 19:13:15 | main | [USER: ] | INFO  | Http11NioProtocol | Initializing ProtocolHandler ["http-nio-8080"]
2024-08-04 19:13:15 | main | [USER: ] | INFO  | StandardService | Starting service [Tomcat]
2024-08-04 19:13:15 | main | [USER: ] | INFO  | StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-04 19:13:15 | main | [USER: ] | INFO  | [/] | Initializing Spring embedded WebApplicationContext
2024-08-04 19:13:15 | main | [USER: ] | INFO  | ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 395 ms
2024-08-04 19:13:15 | main | [USER: ] | INFO  | Http11NioProtocol | Starting ProtocolHandler ["http-nio-8080"]
2024-08-04 19:13:15 | main | [USER: ] | INFO  | TomcatWebServer | Tomcat started on port 8080 (http) with context path '/'
2024-08-04 19:13:15 | main | [USER: ] | INFO  | LogbackApplication | Started LogbackApplication in 0.765 seconds (process running for 1.116)
2024-08-04 19:13:59 | main | [USER: ] | INFO  | LogbackApplication | Starting LogbackApplication using Java 21.0.3 with PID 3173 (/Users/kms/Desktop/spring-lab/logback/build/classes/java/main started by kms in /Users/kms/Desktop/spring-lab/logback)
2024-08-04 19:13:59 | main | [USER: ] | INFO  | LogbackApplication | No active profile set, falling back to 1 default profile: "default"
2024-08-04 19:14:00 | main | [USER: ] | INFO  | TomcatWebServer | Tomcat initialized with port 8080 (http)
2024-08-04 19:14:00 | main | [USER: ] | INFO  | Http11NioProtocol | Initializing ProtocolHandler ["http-nio-8080"]
2024-08-04 19:14:00 | main | [USER: ] | INFO  | StandardService | Starting service [Tomcat]
2024-08-04 19:14:00 | main | [USER: ] | INFO  | StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-04 19:14:00 | main | [USER: ] | INFO  | [/] | Initializing Spring embedded WebApplicationContext
2024-08-04 19:14:00 | main | [USER: ] | INFO  | ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 411 ms
2024-08-04 19:14:00 | main | [USER: ] | INFO  | Http11NioProtocol | Starting ProtocolHandler ["http-nio-8080"]
2024-08-04 19:14:00 | main | [USER: ] | INFO  | TomcatWebServer | Tomcat started on port 8080 (http) with context path '/'
2024-08-04 19:14:00 | main | [USER: ] | INFO  | LogbackApplication | Started LogbackApplication in 0.762 seconds (process running for 1.08)
2024-08-04 19:15:41 | main | [USER: ] | INFO  | LogbackApplication | Starting LogbackApplication using Java 21.0.3 with PID 3190 (/Users/kms/Desktop/spring-lab/logback/build/classes/java/main started by kms in /Users/kms/Desktop/spring-lab/logback)
2024-08-04 19:15:41 | main | [USER: ] | INFO  | LogbackApplication | No active profile set, falling back to 1 default profile: "default"
2024-08-04 19:15:41 | main | [USER: ] | INFO  | TomcatWebServer | Tomcat initialized with port 8080 (http)
2024-08-04 19:15:41 | main | [USER: ] | INFO  | Http11NioProtocol | Initializing ProtocolHandler ["http-nio-8080"]
2024-08-04 19:15:41 | main | [USER: ] | INFO  | StandardService | Starting service [Tomcat]
2024-08-04 19:15:41 | main | [USER: ] | INFO  | StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-04 19:15:41 | main | [USER: ] | INFO  | [/] | Initializing Spring embedded WebApplicationContext
2024-08-04 19:15:41 | main | [USER: ] | INFO  | ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 345 ms
2024-08-04 19:15:41 | main | [USER: ] | INFO  | Http11NioProtocol | Starting ProtocolHandler ["http-nio-8080"]
2024-08-04 19:15:41 | main | [USER: ] | INFO  | TomcatWebServer | Tomcat started on port 8080 (http) with context path '/'
2024-08-04 19:15:41 | main | [USER: ] | INFO  | LogbackApplication | Started LogbackApplication in 0.676 seconds (process running for 0.966)
2024-08-04 19:15:55 | main | [USER: ] | INFO  | LogbackApplication | Starting LogbackApplication using Java 21.0.3 with PID 3197 (/Users/kms/Desktop/spring-lab/logback/build/classes/java/main started by kms in /Users/kms/Desktop/spring-lab/logback)
2024-08-04 19:15:55 | main | [USER: ] | INFO  | LogbackApplication | No active profile set, falling back to 1 default profile: "default"
2024-08-04 19:15:55 | main | [USER: ] | INFO  | TomcatWebServer | Tomcat initialized with port 8080 (http)
2024-08-04 19:15:55 | main | [USER: ] | INFO  | Http11NioProtocol | Initializing ProtocolHandler ["http-nio-8080"]
2024-08-04 19:15:55 | main | [USER: ] | INFO  | StandardService | Starting service [Tomcat]
2024-08-04 19:15:55 | main | [USER: ] | INFO  | StandardEngine | Starting Servlet engine: [Apache Tomcat/10.1.26]
2024-08-04 19:15:55 | main | [USER: ] | INFO  | [/] | Initializing Spring embedded WebApplicationContext
2024-08-04 19:15:55 | main | [USER: ] | INFO  | ServletWebServerApplicationContext | Root WebApplicationContext: initialization completed in 351 ms
2024-08-04 19:15:55 | main | [USER: ] | INFO  | Http11NioProtocol | Starting ProtocolHandler ["http-nio-8080"]
2024-08-04 19:15:55 | main | [USER: ] | INFO  | TomcatWebServer | Tomcat started on port 8080 (http) with context path '/'
2024-08-04 19:15:55 | main | [USER: ] | INFO  | LogbackApplication | Started LogbackApplication in 0.71 seconds (process running for 0.952)
2024-08-04 19:22:49 | http-nio-8080-exec-1 | [USER: ] | INFO  | [/] | Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-08-04 19:22:49 | http-nio-8080-exec-1 | [USER: ] | INFO  | DispatcherServlet | Initializing Servlet 'dispatcherServlet'
2024-08-04 19:22:49 | http-nio-8080-exec-1 | [USER: ] | INFO  | DispatcherServlet | Completed initialization in 2 ms
